,Year,2000,,,,2001,,,,2002,,,,2003,,,,2004,,,,2005,,,,2006,,,,2007,,,,2008,,,,2009,,,,2010,,,,2011,,,,2012,,,,2013,,,,2014,,,
,Gender,M,,F,,M,,F,,M,,F,,M,,F,,M,,F,,M,,F,,M,,F,,M,,F,,M,,F,,M,,F,,M,,F,,M,,F,,M,,F,,M,,F,,M,,F,
Community Area,Community Area Name,Cases,Incidence Rate ,Cases,Incidence Rate ,Cases,Incidence Rate ,Cases,Incidence Rate ,Cases,Incidence Rate ,Cases,Incidence Rate ,Cases,Incidence Rate ,Cases,Incidence Rate ,Cases,Incidence Rate ,Cases,Incidence Rate ,Cases,Incidence Rate ,Cases,Incidence Rate ,Cases,Incidence Rate ,Cases,Incidence Rate ,Cases,Incidence Rate ,Cases,Incidence Rate ,Cases,Incidence Rate ,Cases,Incidence Rate ,Cases,Incidence Rate ,Cases,Incidence Rate ,Cases,Incidence Rate ,Cases,Incidence Rate ,Cases,Incidence Rate ,Cases,Incidence Rate ,Cases,Incidence Rate ,Cases,Incidence Rate ,Cases,Incidence Rate ,Cases,Incidence Rate ,Cases,Incidence Rate ,Cases,Incidence Rate 
47,Burnside,22,3358.8,17,2344.8,22,3437.5,14,1971.8,30,4792.3,18,2586.2,17,2782.3,15,2202.6,21,3523.5,16,2398.8,14,2405.5,13,1993.9,10,1763.7,15,2354.8,11,1992.8,14,2247.2,13,2420.9,13,2138.2,7,1338.4,12,2020.2,7,1378,9,1554.4,8,1574.8,18,3108.8,12,2362.2,15,2590.7,8,1574.8,12,2072.5,5,984.3,9,1554.4
48,Calumet Heights,68,2485.4,49,1548.2,48,1791.7,40,1297,42,1601.2,46,1531.8,42,1636.8,27,923.7,41,1634.1,48,1689,34,1386.1,34,1231.4,38,1586,44,1641.8,25,1068.8,36,1385.1,35,1533.7,31,1230.6,14,628.9,29,1189.5,21,968.2,24,1018.2,24,1106.5,28,1188,30,1383.1,31,1315.2,14,645.5,39,1654.6,24,1106.5,26,1103.1
49,Roseland,300,3058.1,222,1941.4,307,3199.9,246,2194.3,269,2868.4,241,2193.5,220,2401.2,243,2257.9,212,2369.8,209,1983.3,162,1855.5,227,2200.9,190,2231.4,183,1813.7,214,2578.6,194,1966.3,164,2028.9,180,1867,86,1093.2,173,1837.1,116,1516.1,147,1599,132,1725.3,139,1512,160,2091.2,189,2055.9,120,1568.4,117,1272.7,103,1346.2,102,1109.5
50,Pullman,25,1481.9,26,1307.8,29,1754.4,33,1695.8,23,1419.8,36,1890.8,24,1513.2,29,1557.5,28,1803,30,1648.4,26,1711.7,17,956.1,19,1279.5,35,2016.1,21,1446.3,18,1062.6,27,1904.1,24,1452.8,14,1010.8,15,931.7,11,814.2,22,1403.1,20,1480.4,13,829.1,19,1406.4,14,892.9,15,1110.3,12,765.3,10,740.2,14,892.9
51,South Deering,59,1760.7,47,1250.3,57,1732,46,1245.9,37,1145.2,51,1406.9,41,1293,45,1265.1,21,675,46,1318.1,23,753.9,38,1110.1,35,1170.6,43,1281.3,45,1535.8,27,820.9,20,696.9,35,1086.6,20,711.7,42,1331.6,24,872.7,28,907,28,1018.2,28,907,28,1018.2,35,1133.8,23,836.4,36,1166.2,19,690.9,33,1069
52,East Side,,,5,96.1,7,130.4,7,135.8,,,6,117.5,,,5,98.9,,,7,139.9,,,5,100.9,8,153.8,7,142.7,,,13,267.7,,,12,249.7,,,5,105.1,,,8,170,5,98.6,9,191.2,6,118.3,9,191.2,5,98.6,10,212.5,8,157.8,7,148.7
53,West Pullman,213,3042.9,155,1915,204,2980.7,177,2235.4,183,2736.2,184,2376.3,156,2388.6,179,2365.5,147,2305.9,141,1907.7,149,2395.9,173,2397.5,150,2474,144,2045.5,162,2742.5,161,2345.6,159,2765.2,145,2168.1,63,1126.2,114,1750.3,72,1324,120,1893.6,91,1673.4,105,1656.9,84,1544.7,107,1688.5,62,1140.1,95,1499.1,60,1103.3,74,1167.7
54,Riverdale,50,3030.3,62,2419,22,1381.9,52,2094.2,47,3061.9,50,2080.7,43,2911.3,61,2624.8,48,3382.7,45,2005.3,24,1762.1,53,2449.2,25,1917.2,34,1631.5,19,1524.9,36,1796.4,14,1178.5,16,831.2,5,442.1,42,2276.4,11,1025.2,23,1303.1,15,1397.9,30,1699.7,13,1211.6,32,1813,20,1863.9,37,2096.3,8,745.6,43,2436.3
55,Hegewisch,,,,,,,,,,,,,,,,,,,6,322.8,,,,,,,,,,,0,,,,,,0,,,,,,0,,,,,,,,,,5,270.7,,,<5,,<5,
56,Garfield Ridge,14,194.7,14,194.2,18,251.4,16,223.6,17,238.5,26,366.2,21,295.9,22,312.2,12,169.9,10,143,13,184.8,23,331.5,13,185.7,13,188.9,16,229.5,14,205,14,201.8,20,295.2,8,115.8,18,267.9,9,130.9,6,90,7,101.8,12,180,11,160,11,165,9,130.9,14,210,7,101.8,13,195
